"Date(s)
conducted",Polling organisation/client,Sample size,Con,Lab,UKIP,Lib Dem,SNP,Green,Others,Lead,Year
3–5 Mar,ICM/The Guardian,1787,44.0,28.0,11.0,8.0,4.0,5.0,1.0,16.0,2017.0
27–28 Feb,YouGov/The Times,1666,42.0,25.0,12.0,11.0,6.0,4.0,1.0,17.0,2017.0
21–22 Feb,YouGov/The Times,2060,41.0,25.0,13.0,11.0,6.0,3.0,1.0,16.0,2017.0
17–19 Feb,ICM/The Guardian,2028,44.0,26.0,13.0,8.0,4.0,4.0,1.0,18.0,2017.0
14–16 Feb,Opinium/Observer,2004,40.0,27.0,14.0,8.0,5.0,4.0,2.0,13.0,2017.0
10–14 Feb,Ipsos MORI/Evening Standard,1014,40.0,29.0,9.0,13.0,5.0,4.0,0.0,11.0,2017.0
12–13 Feb,YouGov/The Times,2052,40.0,24.0,15.0,11.0,6.0,4.0,2.0,16.0,2017.0
8–10 Feb,"ComRes/Sunday Mirror, Independent on Sunday",1218,41.0,26.0,11.0,11.0,5.0,4.0,2.0,15.0,2017.0
5–6 Feb,YouGov/The Times,1984,40.0,24.0,14.0,11.0,6.0,4.0,1.0,16.0,2017.0
3–5 Feb,ICM/The Guardian,1984,42.0,27.0,12.0,10.0,5.0,4.0,1.0,15.0,2017.0
31 Jan–1 Feb,Opinium/Observer,2005,37.0,30.0,14.0,8.0,5.0,5.0,2.0,7.0,2017.0
30–31 Jan,YouGov/The Times,1705,40.0,26.0,12.0,11.0,6.0,4.0,1.0,14.0,2017.0
23–24 Jan,YouGov/The Times,1643,40.0,24.0,14.0,10.0,6.0,3.0,0.0,16.0,2017.0
20–22 Jan,ICM/The Guardian,2052,42.0,26.0,13.0,10.0,4.0,5.0,1.0,16.0,2017.0
17–18 Jan,YouGov/The Times,1654,42.0,25.0,12.0,11.0,6.0,3.0,0.0,17.0,2017.0
13–16 Jan,Ipsos MORI,1132,43.0,31.0,6.0,11.0,4.0,4.0,,12.0,2017.0
13 Jan,Survation/Mail on Sunday,1177,38.0,29.0,13.0,10.0,4.0,2.0,4.0,9.0,2017.0
10–12 Jan,Opinium/Observer,2007,38.0,30.0,14.0,7.0,5.0,4.0,2.0,8.0,2017.0
9–10 Jan,YouGov/The Times,1660,39.0,28.0,13.0,11.0,6.0,3.0,1.0,11.0,2017.0
6–8 Jan,ICM/The Guardian,2000,42.0,28.0,12.0,9.0,4.0,4.0,,14.0,2017.0
3–4 Jan,YouGov/The Times,1740,39.0,26.0,14.0,10.0,6.0,4.0,1.0,13.0,2017.0
18–19 Dec,YouGov/The Times,1595,39.0,24.0,14.0,12.0,6.0,4.0,1.0,15.0,2016.0
13–16 Dec,Opinium/Observer,2000,38.0,31.0,13.0,6.0,6.0,4.0,1.0,7.0,2016.0
9–12 Dec,Ipsos MORI,1003,40.0,29.0,9.0,14.0,4.0,3.0,1.0,11.0,2016.0
9–11 Dec,ICM/The Guardian,2049,41.0,27.0,14.0,9.0,4.0,3.0,1.0,14.0,2016.0
4–5 Dec,YouGov/The Times,1667,42.0,25.0,12.0,11.0,6.0,4.0,1.0,17.0,2016.0
28–29 Nov,YouGov/The Times,1624,39.0,27.0,14.0,9.0,6.0,4.0,1.0,12.0,2016.0
25–27 Nov,ICM/The Guardian,2009,44.0,28.0,12.0,7.0,4.0,4.0,2.0,16.0,2016.0
21–22 Nov,YouGov/The Times,1693,41.0,28.0,12.0,9.0,6.0,4.0,0.0,13.0,2016.0
18–20 Nov,ICM/The Guardian,2031,42.0,28.0,11.0,9.0,4.0,3.0,2.0,14.0,2016.0
15–18 Nov,Opinium,2005,41.0,29.0,12.0,7.0,6.0,3.0,1.0,12.0,2016.0
14–15 Nov,YouGov/The Times,1717,42.0,28.0,11.0,8.0,7.0,4.0,1.0,14.0,2016.0
11–14 Nov,Ipsos MORI,1013,42.0,33.0,7.0,10.0,5.0,3.0,1.0,9.0,2016.0
1–4 Nov,Opinium,2001,40.0,32.0,13.0,6.0,6.0,4.0,,8.0,2016.0
31 Oct–1 Nov,YouGov/The Times,1608,41.0,27.0,11.0,10.0,6.0,4.0,1.0,14.0,2016.0
28–30 Oct,ICM/The Guardian,2040,43.0,27.0,12.0,8.0,4.0,5.0,1.0,16.0,2016.0
24–25 Oct,YouGov/The Times,1655,40.0,27.0,11.0,11.0,7.0,3.0,1.0,13.0,2016.0
19–24 Oct,BMG,1546,42.0,28.0,12.0,8.0,5.0,4.0,1.0,14.0,2016.0
19–20 Oct,YouGov/Election Data,1608,42.0,26.0,12.0,8.0,6.0,5.0,1.0,16.0,2016.0
14–17 Oct,Ipsos MORI,1016,47.0,29.0,6.0,7.0,6.0,4.0,1.0,18.0,2016.0
11–12 Oct,YouGov/The Times,1669,42.0,28.0,11.0,9.0,6.0,3.0,0.0,14.0,2016.0
7–9 Oct,ICM/The Guardian,2017,43.0,26.0,11.0,8.0,4.0,6.0,2.0,17.0,2016.0
28–29 Sep,YouGov/The Times,1658,39.0,30.0,13.0,8.0,6.0,3.0,0.0,9.0,2016.0
21–23 Sep,ICM/Sun on Sunday,2015,41.0,26.0,14.0,8.0,5.0,4.0,2.0,15.0,2016.0
20–23 Sep,BMG,2026,39.0,28.0,13.0,8.0,5.0,5.0,2.0,11.0,2016.0
19–21 Sep,YouGov/The Times,3285,39.0,30.0,13.0,8.0,6.0,3.0,1.0,9.0,2016.0
13–14 Sep,YouGov/The Times,1732,38.0,31.0,13.0,7.0,6.0,4.0,,7.0,2016.0
10–14 Sep,Ipsos MORI/Evening Standard,1000,40.0,34.0,9.0,6.0,4.0,5.0,1.0,6.0,2016.0
9–11 Sep,ICM/The Guardian,2013,41.0,27.0,14.0,8.0,5.0,4.0,2.0,14.0,2016.0
4–5 Sep,YouGov/The Times,1616,40.0,29.0,13.0,7.0,7.0,3.0,,11.0,2016.0
30–31 Aug,YouGov/The Times,1687,38.0,30.0,14.0,7.0,6.0,4.0,,8.0,2016.0
26–28 Aug,ICM/The Guardian,2040,41.0,27.0,13.0,9.0,4.0,4.0,2.0,14.0,2016.0
22–23 Aug,YouGov/The Times,1660,40.0,29.0,13.0,8.0,6.0,3.0,1.0,11.0,2016.0
11–22 Aug,Lord Ashcroft Polls,8011,40.0,31.0,13.0,7.0,5.0,3.0,1.0,9.0,2016.0
16–17 Aug,YouGov/The Times,1677,38.0,30.0,13.0,9.0,7.0,4.0,,8.0,2016.0
13–15 Aug,Ipsos MORI/Evening Standard,1017,45.0,34.0,6.0,7.0,4.0,4.0,1.0,11.0,2016.0
12–15 Aug,ICM,2010,40.0,28.0,14.0,8.0,4.0,4.0,2.0,12.0,2016.0
8–9 Aug,YouGov/The Times,1692,38.0,31.0,13.0,8.0,7.0,4.0,,7.0,2016.0
5–8 Aug,TNS,1199,39.0,26.0,11.0,10.0,4.0,7.0,2.0,13.0,2016.0
1–2 Aug,YouGov/The Times,1722,42.0,28.0,12.0,8.0,6.0,3.0,1.0,14.0,2016.0
25–26 Jul,YouGov/The Times,1680,40.0,28.0,13.0,8.0,7.0,4.0,1.0,12.0,2016.0
22–24 Jul,ICM,2012,43.0,27.0,13.0,8.0,4.0,4.0,1.0,16.0,2016.0
19–22 Jul,Opinium/Observer,2231,37.0,31.0,15.0,6.0,6.0,4.0,1.0,6.0,2016.0
17–18 Jul,YouGov,1891,40.0,29.0,12.0,9.0,7.0,3.0,1.0,11.0,2016.0
13–15 Jul,ICM,2027,39.0,29.0,14.0,9.0,4.0,4.0,2.0,10.0,2016.0
9–11 Jul,Ipsos MORI,1021,36.0,35.0,8.0,11.0,5.0,4.0,1.0,1.0,2016.0
8–10 Jul,ICM,2025,38.0,30.0,15.0,8.0,5.0,4.0,1.0,8.0,2016.0
4–5 Jul,Survation/Constitutional Research Council,1008,36.0,32.0,12.0,9.0,6.0,,7.0,4.0,2016.0
1–3 Jul,ICM,1979,37.0,30.0,15.0,8.0,5.0,4.0,2.0,7.0,2016.0
28–30 Jun,Opinium,2006,34.0,29.0,17.0,7.0,5.0,4.0,2.0,5.0,2016.0
24–26 Jun,ICM/The Guardian,2001,36.0,32.0,15.0,7.0,5.0,5.0,1.0,4.0,2016.0
24–25 Jun,Survation/Mail on Sunday,1033,32.0,32.0,16.0,9.0,4.0,4.0,2.0,,2016.0
20–22 Jun,Opinium,3011,34.0,30.0,19.0,6.0,6.0,4.0,2.0,4.0,2016.0
14–17 Jun,Opinium/Observer,2006,34.0,30.0,18.0,6.0,6.0,4.0,1.0,4.0,2016.0
15–16 Jun,"ComRes/Sunday Mirror, Independent on Sunday",2046,34.0,29.0,19.0,8.0,5.0,4.0,2.0,5.0,2016.0
11–14 Jun,Ipsos MORI/Evening Standard,1257,35.0,34.0,10.0,9.0,5.0,4.0,3.0,1.0,2016.0
10–13 Jun,ICM/The Guardian,2001,34.0,30.0,19.0,8.0,4.0,4.0,1.0,4.0,2016.0
10–13 Jun,ICM/The Guardian,1000,34.0,33.0,14.0,9.0,4.0,5.0,2.0,1.0,2016.0
7–10 Jun,Opinium/Observer,2009,35.0,32.0,18.0,4.0,5.0,4.0,1.0,3.0,2016.0
31 May–3 Jun,Opinium/Observer,2007,34.0,30.0,18.0,6.0,6.0,4.0,2.0,4.0,2016.0
27–29 May,ICM/The Guardian,2052,36.0,31.0,17.0,7.0,4.0,4.0,2.0,5.0,2016.0
27–29 May,ICM/The Guardian,1004,36.0,32.0,15.0,7.0,4.0,3.0,2.0,4.0,2016.0
17–19 May,Opinium/Observer,2008,35.0,30.0,18.0,5.0,6.0,5.0,2.0,5.0,2016.0
14–16 May,Ipsos MORI/Evening Standard,1002,36.0,34.0,10.0,8.0,5.0,5.0,2.0,2.0,2016.0
13–15 May,ICM/The Guardian,1002,36.0,34.0,13.0,7.0,4.0,4.0,2.0,2.0,2016.0
13–15 May,ICM/The Guardian,2048,34.0,32.0,17.0,7.0,5.0,4.0,1.0,2.0,2016.0
11–12 May,"ComRes/Sunday Mirror, Independent on Sunday",2043,36.0,30.0,17.0,8.0,5.0,4.0,,6.0,2016.0
26–29 Apr,Opinium/Observer,2005,38.0,30.0,15.0,5.0,5.0,5.0,2.0,8.0,2016.0
25–26 Apr,YouGov/The Times,1650,30.0,33.0,20.0,6.0,8.0,3.0,,3.0,2016.0
22–26 Apr,BMG Research,1375,33.0,32.0,18.0,6.0,5.0,4.0,2.0,1.0,2016.0
16–18 Apr,Ipsos MORI/Evening Standard,1026,38.0,35.0,11.0,6.0,6.0,3.0,1.0,3.0,2016.0
15–17 Apr,ICM/The Guardian,1003,38.0,33.0,13.0,7.0,5.0,3.0,1.0,5.0,2016.0
15–17 Apr,ICM/The Guardian,2008,36.0,31.0,16.0,7.0,4.0,4.0,2.0,5.0,2016.0
13–14 Apr,"ComRes/Sunday Mirror, Independent on Sunday",2036,35.0,30.0,16.0,8.0,5.0,4.0,1.0,5.0,2016.0
11–12 Apr,YouGov/The Times,1639,31.0,34.0,17.0,8.0,7.0,3.0,,3.0,2016.0
29 Mar–1 Apr,Opinium/Observer,1966,33.0,32.0,17.0,5.0,6.0,4.0,2.0,1.0,2016.0
24–29 Mar,BMG Research,1298,36.0,31.0,16.0,7.0,5.0,5.0,2.0,5.0,2016.0
19–22 Mar,Ipsos MORI,1023,36.0,34.0,11.0,10.0,5.0,3.0,2.0,2.0,2016.0
18–20 Mar,ComRes/Daily Mail,1002,37.0,35.0,9.0,7.0,5.0,4.0,2.0,2.0,2016.0
16–17 Mar,YouGov/The Times,1691,33.0,34.0,16.0,6.0,6.0,3.0,2.0,1.0,2016.0
11–13 Mar,ICM/The Guardian,1001,36.0,36.0,11.0,8.0,3.0,3.0,1.0,,2016.0
9–10 Mar,"ComRes/Sunday Mirror, Independent on Sunday",2059,38.0,29.0,16.0,7.0,4.0,4.0,1.0,9.0,2016.0
21–23 Feb,YouGov/The Times,3482,37.0,30.0,16.0,8.0,6.0,3.0,,7.0,2016.0
17–23 Feb,BMG Research,1268,38.0,30.0,16.0,5.0,5.0,5.0,2.0,8.0,2016.0
19–22 Feb,ComRes/Daily Mail,1000,38.0,31.0,12.0,8.0,4.0,3.0,3.0,7.0,2016.0
13–16 Feb,Ipsos MORI,1001,39.0,33.0,12.0,6.0,6.0,3.0,2.0,6.0,2016.0
12–14 Feb,ICM/The Guardian,1004,39.0,32.0,11.0,7.0,4.0,4.0,3.0,7.0,2016.0
10–12 Feb,"ComRes/Sunday Mirror, Independent on Sunday",2018,41.0,27.0,15.0,9.0,5.0,3.0,1.0,14.0,2016.0
3–4 Feb,YouGov/The Times,1675,39.0,29.0,18.0,6.0,4.0,3.0,1.0,10.0,2016.0
27–28 Jan,YouGov,1735,39.0,30.0,17.0,6.0,4.0,3.0,1.0,9.0,2016.0
23–25 Jan,Ipsos MORI,1027,40.0,31.0,11.0,7.0,5.0,4.0,1.0,9.0,2016.0
22–24 Jan,ComRes/Daily Mail,1006,37.0,32.0,12.0,6.0,4.0,4.0,4.0,5.0,2016.0
15–17 Jan,ICM/The Guardian,1001,40.0,35.0,10.0,6.0,4.0,3.0,2.0,5.0,2016.0
15–16 Jan,Survation/Mail on Sunday,1017,37.0,30.0,16.0,7.0,5.0,3.0,3.0,7.0,2016.0
13–15 Jan,"ComRes/Sunday Mirror, Independent on Sunday",2004,40.0,29.0,16.0,7.0,4.0,3.0,1.0,11.0,2016.0
8–14 Jan,Panelbase/Sunday Times,2087,39.0,31.0,14.0,6.0,5.0,5.0,,8.0,2016.0
18–20 Dec,ICM/The Guardian,1003,39.0,34.0,10.0,7.0,4.0,3.0,3.0,5.0,2015.0
17–18 Dec,YouGov/The Times,1598,39.0,29.0,17.0,6.0,5.0,3.0,1.0,10.0,2015.0
15–18 Dec,Opinium/Observer,1936,38.0,30.0,16.0,5.0,6.0,5.0,2.0,8.0,2015.0
12–14 Dec,Ipsos MORI/Evening Standard,1040,38.0,31.0,9.0,9.0,5.0,6.0,2.0,7.0,2015.0
11–13 Dec,ComRes/Daily Mail,1001,37.0,33.0,11.0,7.0,4.0,5.0,2.0,4.0,2015.0
9–11 Dec,"ComRes/Independent on Sunday, Sunday Mirror",2049,40.0,29.0,16.0,7.0,4.0,3.0,1.0,11.0,2015.0
30 Nov–1 Dec,YouGov/The Times,1657,41.0,30.0,16.0,6.0,4.0,3.0,1.0,11.0,2015.0
20–24 Nov,YouGov,4317,38.0,29.0,17.0,6.0,5.0,3.0,1.0,9.0,2015.0
20–22 Nov,ComRes/Daily Mail,1000,40.0,29.0,11.0,8.0,4.0,3.0,4.0,11.0,2015.0
18–20 Nov,"ComRes/Independent on Sunday, Sunday Mirror",2067,42.0,27.0,15.0,7.0,5.0,3.0,1.0,15.0,2015.0
16–17 Nov,Survation/Leave.EU[b],1546,37.0,30.0,16.0,6.0,5.0,3.0,3.0,7.0,2015.0
14–17 Nov,Ipsos MORI/Evening Standard,1021,41.0,34.0,7.0,7.0,6.0,4.0,,7.0,2015.0
11–17 Nov,BMG Research,1334,37.0,30.0,15.0,7.0,4.0,4.0,2.0,7.0,2015.0
13–15 Nov,ICM/The Guardian,1006,39.0,33.0,12.0,7.0,5.0,3.0,1.0,6.0,2015.0
9–11 Nov,Survation/Leave.EU[b],2007,36.0,30.0,15.0,7.0,5.0,3.0,3.0,6.0,2015.0
22–27 Oct,BMG Research,1467,37.0,31.0,15.0,6.0,4.0,5.0,2.0,6.0,2015.0
23–25 Oct,ComRes/Daily Mail,1002,38.0,33.0,10.0,8.0,3.0,3.0,4.0,5.0,2015.0
17–19 Oct,Ipsos MORI/Evening Standard,1021,36.0,32.0,12.0,10.0,5.0,3.0,2.0,4.0,2015.0
13–16 Oct,Opinium,1934,37.0,32.0,15.0,5.0,6.0,4.0,2.0,5.0,2015.0
14–15 Oct,"ComRes/Independent on Sunday, Sunday Mirror",2051,42.0,29.0,13.0,7.0,5.0,3.0,1.0,13.0,2015.0
9–11 Oct,ICM/The Guardian,1002,38.0,34.0,11.0,7.0,5.0,3.0,3.0,4.0,2015.0
29–30 Sep,YouGov/The Sun,2064,37.0,31.0,17.0,7.0,5.0,2.0,1.0,6.0,2015.0
26–28 Sep,ComRes/Daily Mail,1009,39.0,30.0,12.0,9.0,4.0,4.0,3.0,9.0,2015.0
21–22 Sep,Survation/Huffington Post,1008,37.0,32.0,13.0,9.0,5.0,3.0,1.0,5.0,2015.0
19–22 Sep,Ipsos MORI/Evening Standard,1255,39.0,34.0,7.0,9.0,5.0,4.0,1.0,5.0,2015.0
17–18 Sep,YouGov/Sunday Times,1601,39.0,31.0,16.0,6.0,5.0,3.0,1.0,8.0,2015.0
15–18 Sep,Opinium,1942,37.0,32.0,14.0,6.0,5.0,4.0,1.0,5.0,2015.0
16–17 Sep,"ComRes/Independent on Sunday, Sunday Mirror",2015,42.0,30.0,13.0,7.0,5.0,3.0,1.0,12.0,2015.0
11–13 Sep,ICM/The Guardian,1006,38.0,32.0,13.0,8.0,5.0,3.0,2.0,6.0,2015.0
3–4 Sep,Survation/Mail on Sunday,1004,38.0,32.0,13.0,6.0,5.0,4.0,2.0,6.0,2015.0
21–23 Aug,ComRes/Daily Mail,1001,42.0,28.0,9.0,8.0,5.0,6.0,3.0,14.0,2015.0
12–13 Aug,"ComRes/Independent on Sunday, Sunday Mirror",2035,40.0,29.0,13.0,8.0,5.0,4.0,1.0,11.0,2015.0
12–13 Aug,Survation/TSSA,1007,38.0,33.0,15.0,6.0,5.0,3.0,1.0,5.0,2015.0
7–9 Aug,ICM/The Guardian,1000,40.0,31.0,10.0,7.0,5.0,4.0,2.0,9.0,2015.0
24–26 Jul,ComRes/Daily Mail,1001,40.0,28.0,10.0,7.0,5.0,5.0,4.0,12.0,2015.0
18–20 Jul,Ipsos MORI/Evening Standard,1026,37.0,31.0,9.0,10.0,5.0,8.0,1.0,6.0,2015.0
10–12 Jul,ICM/The Guardian,1005,38.0,34.0,13.0,6.0,4.0,4.0,1.0,4.0,2015.0
26–28 Jun,ComRes/Daily Mail,1002,39.0,27.0,11.0,9.0,5.0,6.0,3.0,12.0,2015.0
14–16 Jun,Ipsos MORI/Evening Standard,1005,39.0,30.0,8.0,9.0,5.0,6.0,2.0,9.0,2015.0
12–14 Jun,ICM/The Guardian,1004,37.0,31.0,13.0,8.0,5.0,5.0,1.0,6.0,2015.0
29–31 May,ComRes/Daily Mail,1000,41.0,29.0,10.0,8.0,5.0,5.0,3.0,12.0,2015.0
25–26 May,YouGov/The Sun,1709,41.0,30.0,13.0,7.0,4.0,4.0,1.0,11.0,2015.0
8–9 May,Survation/Mail on Sunday,1027,40.0,31.0,12.0,6.0,5.0,3.0,2.0,9.0,2015.0
7 May,General Election results (GB only)[2][3],29980107,37.8,31.2,12.9,8.1,4.9,3.8,1.4,6.6,2015.0
